Gender,Age,Weight,Height,Leg_Length,Arm_Length,Arm_Circum,Waist
0,241,64.7,163,34.2,36.2,29,89.6
0,241,54,153,37.2,34,26.1,85.5
1,241,61.4,165,37.7,35,31.4,70.1
0,241,74,171,37.9,36.2,29.8,91.1
0,241,63.6,159,38.1,34,29.2,74.3
0,241,64.6,156,38.4,35.1,30.2,85.5
1,241,81.5,169,39.4,37.5,32.5,95.6
1,241,64.3,169,40.2,38,30.3,79.5
0,241,77.7,167,41.2,37,33.1,100
1,241,95.4,178,41.7,40,33.4,103.2
1,241,62.6,176,43.8,37.4,28.8,73.8
0,242,67.3,152,32.6,33,31.2,96.7
0,242,54.2,162,38.5,34,24.7,75
1,242,60.9,170,41,36,27.5,79
1,242,68.3,176,41.9,35.5,30.2,79.3
1,242,88.9,180,42.9,40,35.4,98.3
0,243,69.8,163,38.4,36.1,32.1,88.2
1,243,93.8,177,39.7,40.5,32.8,105.4
1,243,73.3,173,40.4,39.6,31.5,92.1
0,243,88.9,159,41.9,37.4,41.8,100.4
1,243,77.8,183,43.3,41,31,80
0,244,39.1,163,35,33.6,21.5,62.1
0,244,67.9,154,37.2,35.8,32.5,91.1
0,244,71.5,156,38.5,36,32.7,95.1
0,245,49.2,151,35.9,33.4,24.5,79.9
1,245,71,167,36.3,36.5,32.5,84
1,245,71.7,176,37.7,37.7,32.7,84.5
0,245,55.9,161,38.2,33.2,26.4,73.9
1,245,53.1,171,40.5,34,27.8,68
0,245,79.7,164,40.7,38.5,34.9,101.2
0,245,84.5,161,42.5,36,33.7,91.3
1,245,63.8,176,43.5,35.5,29.9,76
1,245,65.6,179,44.8,39.6,28,78.7
1,245,72.9,187,45.3,41.3,30.8,78.2
0,246,151.6,156,33,36.2,48.2,134.7
0,246,61.1,153,35.2,33,28,85.2
0,246,61.1,160,36.5,36.4,27.3,87.9
0,246,47,161,39.7,35.2,24.4,67.3
1,246,72.8,170,41.1,38,31,84.2
1,246,71.2,177,43.7,37.5,28,81.8
0,246,62,172,44.7,38,26.5,80.6
1,246,74.5,182,46.2,40,30.2,74.6
1,247,60.9,171,36,34.7,28.7,72.2
1,247,56.8,160,37.5,33.2,27.6,74.2
0,247,52.9,167,39.5,36.8,24.1,72.2
0,247,57.8,159,39.6,34.5,27.8,89
0,247,110.8,180,41.2,41.5,35.6,114
1,247,75.9,175,42.3,39.5,33.5,82.4
1,247,105.4,184,46.3,43,37.4,97
0,248,65.2,152,34.2,33.7,30.1,91.3
1,248,61.4,164,36.6,37.2,28.2,80.2
1,248,70.8,176,38.4,38,30.8,86.2
0,248,56.1,175,42.2,38,24.5,75.6
1,248,66,171,42.4,35.9,26.7,75.8
1,248,66.4,177,43,37.5,28.8,78
0,248,77.7,152,44.1,35,34,100.1
0,249,61.4,156,37.2,35.7,30,81.4
0,249,54.4,157,39,34.5,24,79.2
0,249,90.1,159,39.2,35.8,36.4,112.8
0,249,56.4,165,40,36,26.8,76.3
1,249,74.2,188,40.8,41,27.2,82.5
1,249,93.7,171,43.9,37,36.8,108.4
1,249,94,187,44,41.6,34.8,97.2
0,250,59.4,159,39.1,33.4,28.4,87.5
0,250,54.1,170,40.4,37.3,25,75.5
1,250,72.2,177,41.3,40.5,31.2,77.1
0,250,87.2,167,41.8,35.6,33.6,103.1
0,251,138.9,157,34,37.4,45.5,127.3
0,251,44.2,154,35.7,33.5,23,71.7
0,251,91.9,161,37.8,34.5,37.9,106.6
1,251,76.9,176,40.5,37.6,31.4,81.8
1,251,58.9,164,42.3,36.3,27.1,70.6
1,251,94.6,183,43.1,43.8,37.1,92.3
0,252,55.5,160,37,35.6,26.2,74
1,252,61,172,37.8,36,28.7,68.8
1,252,114.4,168,39.5,39.2,41.5,130.2
1,252,66,166,40.1,35.9,29.2,87.9
1,252,67.4,179,40.7,37.8,30.2,81.5
0,252,110.2,167,41.5,39.2,39.7,124.5
1,252,69.1,180,42.9,39.5,29.2,80.2
1,252,84.7,182,44.8,38.2,34.6,86.1
0,253,54.8,160,35.4,34,26.7,78
0,253,54.1,154,36,32.5,25.7,73.5
1,253,79.6,187,42.4,40,31.7,84.6
0,254,54.1,155,35,32.9,24.8,81.5
0,254,49.7,162,36.1,32.3,23.8,67.9
1,254,81.9,176,40.4,39,34.5,92.8
0,254,70.9,173,41.2,38.1,28.6,82.8
0,254,65.1,171,41.4,36.1,27.3,86.6
1,254,72.4,179,42,36.9,30.2,75
1,254,95.5,183,42,39.7,33.1,98.6
1,254,77.9,183,43.6,43,31,79.5
